Paper ID,Author ID
1,1
1,2
1,3
1,4
2,5
2,6
2,7
2,8
2,8
3,9
3,10
3,11
3,12
4,13
4,14
4,15
5,16
5,17
5,18
5,19
5,20
6,21
6,22
6,23
7,24
7,25
7,26
8,27
8,28
8,29
8,30
9,31
9,32
9,33
9,34
10,35
10,36
10,37
10,38
11,39
11,40
11,41
11,42
11,25
11,43
11,44
11,45
12,46
12,47
12,48
12,49
12,50
13,51
13,52
13,53
14,54
14,55
14,56
14,57
15,35
15,58
15,37
15,38
16,59
16,60
16,61
16,62
16,63
17,64
17,65
18,39
18,66
18,67
18,68
18,41
19,69
19,70
19,71
19,35
19,72
19,73
19,74
20,75
20,76
21,77
21,78
21,79
21,80
22,81
22,82
22,83
23,84
24,85
24,86
24,87
24,88
25,89
25,90
25,91
25,92
25,93
26,94
26,95
26,96
27,97
27,98
27,99
27,100
28,101
28,102
28,103
28,104
29,105
29,106
29,107
30,108
30,109
30,56
31,110
31,111
31,112
31,113
32,114
32,115
32,116
32,117
33,118
33,119
33,120
33,121
34,122
34,123
34,124
35,125
35,126
35,127
36,128
36,129
36,130
36,131
37,132
37,133
37,134
37,135
38,136
38,137
39,138
40,52
40,139
40,140
40,141
41,86
41,142
41,143
41,24
42,144
42,145
42,146
42,147
43,148
43,149
43,150
44,151
44,152
44,153
45,154
45,155
45,156
46,157
46,158
47,159
47,160
47,161
47,162
48,163
48,164
49,165
49,166
49,167
49,168
49,169
49,170
50,157
50,158
51,171
51,35
51,37
52,172
52,173
52,174
52,175
53,176
53,177
54,178
54,179
54,180
54,181
54,182
54,183
54,86
54,184
55,185
55,186
56,187
56,188
57,189
57,190
57,191
58,192
58,193
58,194
59,195
59,196
59,197
59,198
60,199
60,200
61,201
61,202
61,203
61,204
62,205
63,206
63,207
63,78
63,77
63,208
63,209
63,210
63,211
63,212
63,80
63,213
63,214
64,215
64,216
64,217
64,218
65,219
65,220
66,105
66,221
67,222
67,223
67,224
67,29
68,225
68,29
68,226
68,227
69,228
69,229
70,230
70,231
70,232
71,233
72,234
72,235
73,236
73,237
73,238
74,239
74,240
74,241
75,205
75,242
75,243
75,244
76,245
76,35
76,246
76,247
77,248
77,249
77,184
78,250
78,251
78,96
79,252
79,253
79,254
80,255
80,256
81,257
81,258
81,259
81,260
82,261
82,109
82,56
82,262
83,263
83,158
84,264
84,265
84,266
85,190
85,267
86,151
86,255
86,268
86,153
87,89
87,91
87,269
87,92
87,93
88,270
88,220
89,271
89,272
89,273
89,274
89,275
89,276
90,277
90,255
91,278
91,279
91,280
92,281
92,188
92,273
93,282
93,283
93,284
93,285
93,286
94,287
94,288
95,190
95,289
95,290
95,291
95,292
96,293
96,294
96,295
97,296
97,129
97,297
97,298
97,299
97,131
98,300
98,301
98,302
98,303
99,304
99,305
99,306
100,307
100,308
100,309
100,310
101,311
101,312
101,313
102,314
102,315
103,316
103,317
103,318
104,319
104,320
104,321
105,322
105,323
106,324
106,325
106,326
107,316
107,317
107,327
107,318
107,328
108,329
108,330
108,331
108,332
108,333
109,334
109,335
110,331
110,329
110,336
111,337
111,338
112,339
112,340
112,341
112,340
112,342
113,343
113,344
113,345
113,346
114,347
114,348
114,349
115,350
115,351
115,352
115,353
116,354
116,355
117,356
117,357
118,358
118,359
119,360
119,361
119,362
119,363
120,364
120,364
120,365
120,366
120,367
120,368
120,369
121,370
121,371
121,372
121,373
121,374
122,375
122,376
122,377
122,378
123,379
123,380
123,381
124,382
124,383
125,384
125,385
125,386
125,387
126,388
126,389
126,390
127,391
127,392
127,393
127,393
127,394
127,395
128,396
128,397
128,398
129,399
129,348
129,349
129,381
130,400
130,401
130,402
131,403
131,404
131,405
132,317
132,406
132,407
133,331
133,329
133,408
133,409
134,410
134,411
135,412
135,413
136,414
136,415
136,416
136,417
137,418
137,419
137,420
137,421
138,422
138,423
139,424
139,425
139,426
140,427
140,428
140,429
140,430
141,431
141,354
141,432
141,355
142,382
142,433
142,434
143,435
143,436
143,437
144,438
144,439
144,440
144,441
145,442
145,443
145,444
146,445
146,446
146,447
146,448
147,449
147,450
147,451
147,452
148,453
148,454
148,455
148,456
149,316
149,317
149,457
149,407
150,458
151,459
151,460
151,461
151,462
152,463
152,464
152,465
152,466
152,467
153,468
153,469
153,470
154,471
154,472
154,473
